"sno","occupation_title","nco_2015","nco_2004","division","subdivision","group","family"
"183","Physicist, General","2111.0100","2111.10","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"184","Physicist, Mechanics","2111.0200","2111.15","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"185","Physicist, Heat","2111.0300","2111.20","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"186","Physicist, Light","2111.0400","2111.25","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"187","Physicist, Sound","2111.0500","2111.30","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"188","Physicist, Electricity and Magnetism","2111.0600","2111.35","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"189","Physicist, Electronics","2111.0700","2111.40","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"190","Physicist, Nuclear","2111.0800","2111.50","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"191","Astronomer","2111.0900","2111.60","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"192","Metrologist","2111.1000","2119.10","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Physicists and Astronomers"
"193","Meteorologist","2112.0100","2112.10","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Meteorologists"
"194","Meteorologists, Other","2112.9900","2112.90","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Meteorologists"
"195","Quality Assurance Chemist","2113.0901","","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"196","Chemists, Other","2113.9900","2113.90","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"197","Chemist, General","2113.0100","2113.10","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"198","Chemist, Organic","2113.0200","2113.20","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"199","Chemist, Inorganic","2113.0300","2113.30","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"200","Chemist, Physical","2113.0400","2113.40","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"201","Chemist, Analytical","2113.0500","2113.50","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"202","Chemist, Industrial","2113.0600","2113.60","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"203","Quality Control Chemist","2113.0601","","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"204","Lab Chemist – Finished Product Testing","2113.0621","","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"205","Lab Chemist – Incoming Raw Material Testing","2113.0622","","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"206","Lab Chemist – Compound Testing – Batch Release","2113.0623","","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"207","Lab Chemist – Cured Compound Testing","2113.0624","","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"208","Chemist, Forensic Science","2113.0800","2113.80","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Chemists"
"209","Geologist","2114.0100","2114.10","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"210","Petrologists","2114.0200","2114.20","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"211","Palaeontologist","2114.0300","2114.30","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"212","Geophysicist","2114.0400","2114.40","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"213","Hydrologist","2114.0500","2114.50","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"214","Mineralogist","2114.0600","2114.60","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"215","Seismologist","2114.0700","2114.70","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"216","Oceanographer","2114.0800","2114.80","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"217","Geologist, Petroleum","2114.1500","2114.15","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"218","Hydrographer, Waterworks","2114.5500","2114.55","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"219","Geologists and Geophysicists, Other","2114.9900","2114.90","Professionals","Science and Engineering Professionals","Physical and Earth Science Professionals","Geologists and Geophysicists"
"220","Statistician, Applied","2120.0400","2122.20","Professionals","Science and Engineering Professionals","Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians"
"221","Operation Research Analyst","2120.0500","2122.30","Professionals","Science and Engineering Professionals","Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians"
"222","Associate – Analytics","2120.0501","","Professionals","Science and Engineering Professionals","Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians"
"223","Mathematicians, Actuaries and Statisticians, Other","2120.9900","2122.90","Professionals","Science and Engineering Professionals","Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians"
